1.0071403294353289e-17,"1.3939553721837602*^6"
8e-18,"1.447199907427169*^6"
6.354625877794231e-18,"1.5018516716969176*^6"
5.0476587558415545e-18,"1.5575453645556136*^6"
4.009497869018172e-18,"1.6138730072667934*^6"
3.1848573644279624e-18,"1.6703918101275302*^6"
2.5298221281347033e-18,"1.726634243124102*^6"
2.0095091452076573e-18,"1.782120040633203*^6"
1.5962098519751064e-18,"1.836369700856122*^6"
1.2679145539688887e-18,"1.8889188855944867*^6"
1.0071403294353288e-18,"1.9393330038771308*^6"
8e-19,"1.9872211862695965*^6"
6.354625877794232e-19,"2.032248832483941*^6"
5.0476587558415545e-19,"2.0741479482300514*^6"
4.009497869018172e-19,"2.11272458419512*^6"
3.1848573644279624e-19,"2.14786285602073*^6"
2.5298221281347034e-19,"2.179525256871321*^6"
2.0095091452076574e-19,"2.207749256249105*^6"
1.5962098519751062e-19,"2.232640477041512*^6"
1.2679145539688886e-19,"2.2543630173399313*^6"
1.0071403294353288e-19,"2.273127699505645*^6"
8e-20,"2.289179163822025*^6"
6.354625877794231e-20,"2.302782766852291*^6"
5.047658755841554e-20,"2.3142121918288525*^6"
4.0094978690181715e-20,"2.323738533968788*^6"
3.184857364427962e-20,"2.331621403574748*^6"
2.5298221281347034e-20,"2.338102325705028*^6"
2.0095091452076575e-20,"2.3434004502053545*^6"
1.5962098519751062e-20,"2.347710363047512*^6"
1.2679145539688886e-20,"2.351201639116774*^6"
1.0071403294353288e-20,"2.3540197072743867*^6"
8e-21,"2.3562876006809883*^6"
