"X","Y","Z"
2,72,0.0046558704
2,73,0.003562753
2,74,0.0035526316
2,75,0.0032951945
2,76,0.0029416006
2,77,0.003051106
2,78,0.0035951417
2,79,0.0033822261
2,80,0.0042526316
2,81,0.0032064777
2,82,0.0038660287
2,83,0.0035192459
2,84,0.0034395849
2,85,0.0036746411
2,86,0.0045972073
2,87,0.0033756806
2,88,0.0043636364
2,89,0.0032706767
2,90,0.0038390093
2,91,0.0033333333
2,92,0.004122807
2,93,0.0039628483
2,94,0.0044736842
2,95,0.0044672657
2,96,0.004534413
2,97,0.0039607493
2,98,0.0033333333
2,99,0.004137931
2,100,0.0041729323
3,1,0.0038596491
3,2,0.0032432432
3,3,0.0053227408
3,4,0.004084839
3,5,0.0030193906
3,6,0.0047157895
3,7,0.0050049652
3,8,0.0042870813
3,9,0.0035303644
3,10,0.0044959857
3,11,0.0036549708
3,12,0.0053052632
3,13,0.0032854864
3,14,0.003754386
3,15,0.0032
3,16,0.0031954887
3,17,0.003465587
3,18,0.0031009957
3,19,0.0036167341
3,20,0.004288499
3,21,0.0028981545
3,22,0.0027027027
3,23,0.0037593985
3,24,0.0036904025
3,25,0.003029525
3,26,0.0041781377
3,27,0.0032092426
3,28,0.003
3,29,0.0034564022
3,30,0.0032809296
3,31,0.0040326168
3,32,0.0037719298
3,33,0.0028421053
3,34,0.003923445
3,35,0.003869969
3,36,0.0029416006
3,37,0.0034782609
3,38,0.0029280097
3,39,0.0039628483
3,40,0.0043990573
3,41,0.0038175439
3,42,0.0032147937
3,43,0.0031727205
3,44,0.0038907395
3,45,0.0030263158
3,46,0.0031445703
3,47,0.0031578947
3,48,0.002749226
3,49,0.0038406828
3,50,0.0034365325
3,51,0.0041426146
3,52,0.004409136
3,53,0.0035352532
3,54,0.0025700615
3,55,0.0043233083
3,56,0.0038749047
3,57,0.0043700159
3,58,0.0026860254
3,59,0.0023391813
3,60,0.003562753
3,61,0.0029774436
3,62,0.003250774
3,63,0.0037351443
3,64,0.0033684211
3,65,0.0030075188
3,66,0.0043951985
3,67,0.0035756057
3,68,0.0039689387
3,69,0.0031445703
3,70,0.0033684211
3,71,0.0029665072
3,72,0.0029416006
3,73,0.005
3,74,0.0039097744
3,75,0.0039628483
3,76,0.0029027113
3,77,0.0031978681
3,78,0.0042105263
3,79,0.0039849624
3,80,0.0025062657
3,81,0.0030445344
3,82,0.0047173489
3,83,0.0042753036
3,84,0.0038709677
3,85,0.0033082707
3,86,0.0031968811
3,87,0.004300112
3,88,0.0034512511
3,89,0.0047928331
3,90,0.004160401
3,91,0.0040191388
3,92,0.0038969765
3,93,0.0034035088
3,94,0.0037894737
3,95,0.0036928387
3,96,0.0036297641
3,97,0.0032080201
3,98,0.0031411863
3,99,0.0035913313
3,100,0.0039728353
4,1,0.0026990553
4,2,0.0038999137
4,3,0.0045748988
4,4,0.0036842105
4,5,0.0041486068
4,6,0.0038749047
4,7,0.0033416876
4,8,0.0040219953
4,9,0.0033616299
4,10,0.0037426901
4,11,0.0044054581
4,12,0.0037466548
4,13,0.0025090123
4,14,0.0031578947
4,15,0.0036513158
4,16,0.0055465587
4,17,0.0042843952
4,18,0.0033307148
4,19,0.0033008447
4,20,0.0035294118
4,21,0.0034249804
4,22,0.0029959514
4,23,0.0036049027
4,24,0.0034567901
4,25,0.0037041972
4,26,0.0042105263
